Timestamp,A quale regione d'Italia appartieni?,Come riferisci ad un gruppo di ragazzi nel tuo dialetto?,Come diresti la frase ‘Ho capito’?,Come chiameresti una sedia nel tuo dialetto?,Come chiameresti una sigaretta?,Come chiameresti un tiro di una sigaretta?,Come pronunci la parola aspetta?,Come dici la parola ‘Gatto’ in dialetto?,Come dici la parola ‘Cane’??,Come si chiama il salame dalle tue parti?,Come chiameresti una ‘Mucca’ nel tuo regione d’Italia?,Come chiameresti alla spezia ‘Prezzemolo’ nel tuo dialetto?
11/15/2017 19:50:08,Lombardia,Pütèi,A gó capì,Scrania,Sigareta,An tir,Speta,Gat,Can,Salam,Vaca,Perdesü
11/15/2017 23:26:06,Lombardia,Ragazzi,Ho capito,Sedia,Paglia,Tiro,Spett,Gat,Cane,Salame,Mucca,Prezzemolo
11/16/2017 0:09:44,Lombardia,Pütèi,Ho capì,Scragna,Paglia,Tiro,Peta,Gat,Can,Salam,Vaca,Parsemul
11/16/2017 0:13:35,Lombardia,Pütèi,Ó capìt,Scragna,Sigareta,Tir',Hpeta,Gat,Can,Salam,Vaca,Pardesum
11/16/2017 1:11:54,Lombardia,Tosi,Ho capito,Carega,Paglia,Tiro,Peta,Gat,Cane,Salam,‘acha,Parsemul
11/16/2017 1:18:11,Lombardia,Matèi,Ó capìt,Hcagna,Cicca,Tiro,Hpeta,Gat,Cà,Halam,Acå,Pederhem
11/16/2017 2:32:01,Lombardia,Scet,Ho capit,Scagna,Paglia,Tiro,Peta,Gat,Cà,Salam,‘acha,Prezzemolo
11/16/2017 8:16:25,Lombardia,Pütèi,Ho capì,Scragna,Sigareta,An tir,Speta,Gat,Can,Salam,Vaca,Pardesum
11/16/2017 8:31:20,Lombardia,Pütèi,Ho capito,Scragna,Paja,Tiro,Aspetta,Gat,Can,Salam,Vaca,Parsemul
11/16/2017 9:29:09,Lombardia,Pütèi,Ó capìt,Scragna ,Paia,Tiro,Speta,Gat,Can,Salam,Vaca,Parsemul
11/16/2017 12:20:41,Lombardia,Gnari,Gho capìt,Scragna,Paina,An tir,Speta,Gat,Cà,Salam,‘acha,Pedersèm
11/16/2017 14:13:48,Lombardia,Pütèi,Ho capì ,Scragna,Sigareta ,Tir',Speta ,Gat,Can,Salam,Vaca,Parsemul
11/16/2017 14:48:53,Lombardia,Pütèi,Va ben,Scragna,Cica,Tir',Speta,Gatte,Can,Salam,Vaca,Pardesum
11/16/2017 16:01:45,Lombardia,Ragazzi,Ho capito,Sedia,Paglia,Tiro,Aspetta,Gatto,Cane,Salame,Vacca,Prezzemolo
11/19/2017 5:28:06,Lombardia,Pütèi,Ho capì,Scragna,Sigarett',Tir',Speta,Gat,Can,Salam,Vaca,Pardesum
11/19/2017 9:56:22,Lombardia,Ragàs,Ho capito,Scrana,Cicca,Tiro,Aspetta,Gat,Can,Salam,Vaca,Parsemul
11/19/2017 17:52:48,Lombardia,Ragazzi,Go capit',Scrana,Paglia,Tir',Aspetta,Gat,Can,Salam,Vaca,Parsemul
11/15/2017 18:06:20,Piemonte,Matoc,Lu capi,Cadrega,Sigareta,Tiro,Peta,Gat,Can,Salam,Vaca,Pransemu
11/16/2017 9:11:11,Piemonte,Ragazzi,Á laj capi,Cadrega,Biu,Hiv,´sspeta,Gat,Can,Salam,Vaca,Parsemul
11/17/2017 2:37:48,Piemonte,Fioei,Ai capì,Cadrega,Cicca,Tir',Speta,Ciat,Can,Salam,Vaca,Pr'ns'mul
11/19/2017 23:47:08,Piemonte,Ragazzi,Ho capito,Cadrega,Cicca,Tiro,Aspetta,Gat,Can,Salame,Vaca,Prunsemu
11/16/2017 3:00:12,Puglia,Uaglioni,Agg' capit,Seggia,Sigarett',Tiro,Asc-pett,Jattu,Can,Sasezz,Mucca,Prezzemolo
11/16/2017 6:58:56,Puglia,Uaglioni,So capite,Seggia,Sigarett',Tiro,Asc-pett,Gat,Can,Salam,Vaca,Parsemul
11/16/2017 10:04:59,Puglia,Uagnun,So capite,Segg,Sigarett',Nu surk,Aspitt,Gattud,Kene,Salsizz,Vacc,Ptrsin
11/16/2017 3:33:26,Sardegna,Piccioccheddusu,Appu cumprendiu,Carira,Zigarru,Tiro,Apetta,Gattu,Cani,Sartizzu,Bacca,Perdusemini
11/16/2017 23:59:52,Sicilia,Uaglioni,Capiu,Seggia,Sicaretta,Tiro,Aspetta,Gattu,Cani,Salame,Vacca,Pitrusinu
4/8/2018 13:22:23,Sicilia,Picciotti,Ho capito,Seggia,Cicca,Tiro,Aspetta,‘attu,U cane,Suppizzata,Vaca,Prunsemu
11/16/2017 14:36:31,Svizzera Italiana,Ragazzi,Ho capito,Sedia,Paglia,Tiro,Aspetta,Gatto,Cane,Luganega,Vacca,Prezzemolo
11/15/2017 13:08:39,Toscana,Ragazzi,Ho capiho,Seggiola,Cicchino,Peo,Aspetta,Gatto,Cane,Salame,Vacca,Prezzemolo
11/15/2017 16:55:01,Toscana,Ragazzi,Ho capiho,Seggiola,Cicchino,Peo,Aspetta,Gatto,Cane,Salame,Vacca,Prezzemolo
11/15/2017 17:28:57,Toscana,Ragazzi,Ho inteso,Scranna,Cicca,Tiro,Aspetta,Ciùcio,Cane,Salame,Vacca,Prezzemolo
11/15/2017 19:02:36,Toscana,Citti,Ho capito,Seggiola,Cicchino,Peo,Aspetta,Gatto,Cane,Salame,Mucca,Prezzemolo
11/15/2017 23:36:44,Toscana,Pischelli,Ho capito,Seggiola,Cicca,Tiro,Spetta,Gatto,Cane,Salame,Vacca,Prezzemolo
11/15/2017 16:47:42,Trentino-Alto Adige,Bocia,Ho capì ,Carega,Un zigheret,Tiro,Peta,Gat,Cain,Salam,Vaca,Persemol
11/15/2017 18:39:05,Umbria,Freghi,Ho capito,Sedia,Sigaretta,Tiro,Spetta,Micio,Chène,Salame,Vacca,Erbetta
11/17/2017 0:11:40,Umbria,Freghi,Ho capito,Sedia,Sigaretta,Tiro,Aspetta,Gatto,Cane,Salame,Vacca,Prezzemolo
11/15/2017 16:48:23,Veneto,Tosi,Go capio,Carega,Cicca,Tiro,Peta,Gato,Can,Salam,Vaca,Parsemul
11/15/2017 17:39:35,Veneto,Butei,Go capio,Carega,Cicca,Tiro,Peta,Gato,Can,Luganega,Vaca,Prezzemolo
11/16/2017 19:21:19,Veneto,Tosi,Go capio,Carega,Cicca,Tiro,Peta,Gato,Can,Luganega,Vacca,Prezzemolo
